iter	RMSE
0	0.9370383864
1	0.9323923642
2	0.9277711868
3	0.9233072349
4	0.9192030912
5	0.9152964001
6	0.9118078711
7	0.9080873329
8	0.9047626012
9	0.9013357275
10	0.8983661385
11	0.8955297548
12	0.8925062733
13	0.889532239
14	0.8868297352
15	0.8841568488
16	0.8818263777
17	0.8796099988
18	0.8771928475
19	0.8749889285
20	0.87288742
21	0.8707962412
22	0.8688514629
23	0.866933022
24	0.8652046964
25	0.863381675
26	0.8617783213
27	0.8602299232
28	0.8587412057
29	0.8572140862
30	0.8558756481
31	0.8544842804
32	0.8532735982
33	0.8519429082
34	0.8506673238
35	0.8495553065
36	0.8484792155
37	0.847243324
38	0.8461784497
39	0.8452016217
40	0.8441420694
41	0.8431394087
42	0.842115763
43	0.8411461055
44	0.8401800712
45	0.8393194788
46	0.8383988025
47	0.8375912575
48	0.8367505353
49	0.8359736713
50	0.835181274
51	0.8344177736
52	0.8336815314
53	0.8329111847
54	0.8322267757
55	0.8315562719
56	0.8308808077
57	0.83026966
58	0.8295999601
59	0.8290412698
60	0.8284916012
61	0.8279421968
62	0.8273734798
63	0.8268347023
64	0.8262521747
65	0.8257181218
66	0.82519439
67	0.8246946405
68	0.8242237194
69	0.8237752588
70	0.8233288314
71	0.8228788704
72	0.8224475667
73	0.8219335689
74	0.8214837313
75	0.8210403715
76	0.8205759537
77	0.8201174967
78	0.8197568237
79	0.8193580757
80	0.8189321044
81	0.8185686186
82	0.8181825642
83	0.8177785586
84	0.8174207403
85	0.8170720083
86	0.8166906034
87	0.8163241735
88	0.8160256838
89	0.8156000794
90	0.8152984819
91	0.8149195065
92	0.8145953111
93	0.8142536204
94	0.8139254163
95	0.8135729774
96	0.8132316257
97	0.812957083
98	0.8126682839
99	0.8123729708
100	0.8120099804
101	0.8116779495
102	0.8113651369
103	0.8110712438
104	0.8107131313
105	0.8104218616
106	0.8101014275
107	0.8097901284
108	0.8095259029
109	0.8092394513
110	0.8089932336
111	0.808773248
112	0.8085134894
113	0.8082759752
114	0.8080215357
115	0.8077774614
116	0.8075553709
117	0.8073106396
118	0.8070493131
119	0.8068278937
120	0.8065929503
121	0.8063556455
122	0.8061153634
123	0.8058898744
124	0.8056654535
125	0.8054260001
126	0.8052019998
127	0.8048998708
128	0.80465595
129	0.8044302137
130	0.8041942137
131	0.8039591485
132	0.8036896361
133	0.8034475844
134	0.8032233565
135	0.8030049035
136	0.8027662785
137	0.8025545153
138	0.8023399373
139	0.8021359831
140	0.8019392836
141	0.8017364943
142	0.8015140945
143	0.8012877981
144	0.8010535055
145	0.800855272
146	0.8006896767
147	0.8004806824
148	0.8002792481
149	0.8000296218
150	0.7998172643
151	0.7996323374
152	0.7994627428
153	0.7992711524
154	0.7990636121
155	0.7988863668
156	0.7986716185
157	0.7984745221
158	0.7983034419
159	0.7981460615
160	0.7979809809
161	0.797784889
162	0.7976050088
163	0.7973956632
164	0.7972364703
165	0.7970566623
166	0.7968901142
167	0.7967172556
168	0.7965626675
169	0.7963873508
170	0.7962047999
171	0.7960317924
172	0.7958891124
173	0.7957045162
174	0.7955076668
175	0.7953441669
176	0.7951685814
177	0.7949709442
178	0.7947744046
179	0.7946102622
180	0.7944329411
181	0.7942383668
182	0.7940631272
183	0.793908744
184	0.7937399278
185	0.7935718632
186	0.7934126252
187	0.7932756128
188	0.79309448
189	0.7929044052
190	0.7927604067
191	0.7925986072
192	0.7924590881
193	0.7923221409
194	0.792151836
195	0.7919732411
196	0.7918103927
197	0.7916658991
198	0.7915166744
199	0.7913557065
200	0.7912029673
201	0.7910324872
202	0.7909085625
203	0.7907560003
204	0.7906066039
205	0.7904522044
206	0.7903116144
207	0.79014961
208	0.7900130207
209	0.7897885727
210	0.7896485571
211	0.7895161031
212	0.7893760392
213	0.7891737504
214	0.7890309523
215	0.7889126219
216	0.788792755
217	0.7886669594
218	0.7885495321
219	0.7884270337
220	0.7882964227
221	0.7881385308
222	0.7880114411
223	0.7878758032
224	0.7877370014
225	0.7875893798
226	0.7874415984
227	0.7873153553
228	0.7872015307
229	0.7870842818
230	0.7869526206
231	0.7868191832
232	0.7867083322
233	0.7865767736
234	0.7864456235
235	0.786325215
236	0.786170571
237	0.7860126828
238	0.7858886292
239	0.7857414227
240	0.785597172
241	0.7854929782
242	0.7853686104
243	0.7852325823
244	0.7850710889
245	0.7849128136
246	0.7848068035
247	0.784683057
248	0.784571174
249	0.7844524032
250	0.7843102065
251	0.7841922596
252	0.7840854545
253	0.7839666434
254	0.7838497744
255	0.7837185002
256	0.7835622782
257	0.7834388338
258	0.7833191266
259	0.7831833411
260	0.7830492282
261	0.7829332533
262	0.7827962365
263	0.7826925682
264	0.78255501
265	0.7824407925
266	0.7823217316
267	0.7822194319
268	0.7820809248
269	0.7819421267
270	0.7818131637
271	0.7816494645
272	0.781533282
273	0.7813614587
274	0.7812376999
275	0.7811491935
276	0.7810108967
277	0.7809007886
278	0.7807550432
279	0.7806332899
280	0.7804997731
281	0.7804090474
282	0.7802848371
283	0.7801653137
284	0.7800520148
285	0.7799481153
286	0.7798448697
287	0.7797396066
288	0.7796294192
289	0.7795109311
290	0.7793870121
291	0.7792691221
292	0.7791654523
293	0.7790641755
294	0.7789485434
295	0.7788329276
296	0.7787213077
297	0.778628368
298	0.7785150796
299	0.77838498
300	0.7782936062
301	0.7781695603
302	0.7780489755
303	0.7779231164
304	0.7778408618
305	0.7776783691
306	0.7775696646
307	0.7774232947
308	0.7773087586
309	0.7771987291
310	0.7770779602
311	0.7769671942
312	0.7768753855
313	0.7767770956
314	0.7766416417
315	0.7765511024
316	0.7764646107
317	0.7763831743
318	0.7763009913
319	0.7761929662
320	0.776077611
321	0.7759770723
322	0.7758519846
323	0.775750846
324	0.7756141048
325	0.7755113568
326	0.775401341
327	0.7752765971
328	0.775161072
329	0.7750262764
330	0.7749351787
331	0.7748248122
332	0.7747149005
333	0.7746222198
334	0.7745159106
335	0.7744191372
336	0.774330255
337	0.7742304984
338	0.7741489615
339	0.7740250925
340	0.7739257676
341	0.7738335308
342	0.7737274162
343	0.7736237444
344	0.773522853
345	0.7734191875
346	0.7733060789
347	0.7732007003
348	0.7730926462
349	0.7729955935
350	0.7729036836
351	0.7728049223
352	0.7727218196
353	0.7725987666
354	0.7724917071
355	0.7723574572
356	0.7722519828
357	0.7721318905
358	0.7720446676
359	0.7719386445
360	0.7718486669
361	0.7717569917
362	0.7716583535
363	0.7715651369
364	0.7714533092
365	0.7713427821
366	0.7712455767
367	0.7711223557
368	0.7710288716
369	0.7709304106
370	0.7708434909
371	0.7707462226
372	0.7706578629
373	0.7705649645
374	0.7704715142
375	0.7703737932
376	0.7702890421
377	0.7702027263
378	0.7701005413
379	0.7699893803
380	0.769859396
381	0.7697680251
382	0.769645109
383	0.7695473507
384	0.7694523215
385	0.7693504769
386	0.7692453689
387	0.7691359465
388	0.769055698
389	0.7689572214
390	0.7688468435
391	0.7687507114
392	0.7686724554
393	0.7685904984
394	0.7684837615
395	0.7683704686
396	0.7682795647
397	0.768181531
398	0.7680754154
399	0.7679722014
400	0.7678759259
401	0.7677983269
402	0.7677042684
403	0.76759846
404	0.767497557
405	0.7674035974
406	0.7672944554
407	0.7672122493
408	0.7671239239
409	0.7670253011
410	0.766943949
411	0.7668363716
412	0.7667387647
413	0.7666470559
414	0.7665654258
415	0.7664676485
416	0.7663844363
417	0.7662973408
418	0.7661899446
419	0.7660996658
420	0.7660152237
421	0.7659260123
422	0.7658423331
423	0.7657258607
424	0.7656407992
425	0.7655511019
426	0.7654619044
427	0.765372016
428	0.765272657
429	0.7651847203
430	0.7650392828
431	0.7649506043
432	0.7648723341
433	0.7647712076
434	0.7646859037
435	0.7645648953
436	0.7644886635
437	0.7643773678
438	0.7642954272
439	0.7642277897
440	0.764131281
441	0.7640191492
442	0.7639222733
443	0.7638272942
444	0.7637024672
445	0.7636059943
446	0.7635181386
447	0.7634025055
448	0.7633135346
449	0.7632308315
450	0.7631356299
451	0.7630474469
452	0.762941334
453	0.7628382788
454	0.7627605429
455	0.7626521365
456	0.7625557015
457	0.762480191
458	0.7623875259
459	0.7622854206
460	0.7622191423
461	0.7621304091
462	0.7620659967
463	0.7619845252
464	0.7618817507
465	0.7617953711
466	0.7617143493
467	0.7616251812
468	0.7615350452
469	0.7614428464
470	0.761339862
471	0.761267207
472	0.761206519
473	0.7611210208
474	0.7610470446
475	0.7609599885
476	0.7608633049
477	0.7607841692
478	0.7607009172
479	0.7606135476
480	0.7605291469
481	0.7604330592
482	0.7603506592
483	0.7602635919
484	0.7601838799
485	0.7600952517
486	0.7600095942
487	0.759921494
488	0.7598255693
489	0.7597472853
490	0.7596559665
491	0.7595824991
492	0.7594507678
493	0.7593740569
494	0.7592890726
495	0.759206034
496	0.7591103963
497	0.7590333079
498	0.7589400503
499	0.7588375155
500	0.758750103
501	0.7586860901
502	0.7586017497
503	0.7585034608
504	0.7584318045
505	0.7583318109
506	0.7582567727
507	0.7581722471
508	0.7580829371
509	0.7580049541
510	0.7579288871
511	0.7578564205
512	0.7577859746
513	0.7577181685
514	0.7576332391
515	0.7575551066
516	0.7574810572
517	0.7574076883
518	0.75734535
519	0.7572552204
520	0.7571796283
521	0.757103616
522	0.7570362648
523	0.7569621647
524	0.7568818297
525	0.7567921266
526	0.7567082634
527	0.7566292093
528	0.7565376863
529	0.7564771353
530	0.7564018098
531	0.7563191084
532	0.7562346073
533	0.7561511643
534	0.7560800084
535	0.7559838375
536	0.7558963705
537	0.7558231578
538	0.755710448
539	0.7556300834
540	0.7555427478
541	0.7554272384
542	0.7553133318
543	0.755223132
544	0.7551412671
545	0.7550719819
546	0.7550094508
547	0.7549438445
548	0.7548573955
549	0.7547737313
550	0.7546845022
551	0.7546177633
552	0.754550915
553	0.754461349
554	0.754373015
555	0.7543117724
556	0.7542388547
557	0.7541813995
558	0.7540754204
559	0.7539909786
560	0.7539173391
561	0.7538336742
562	0.7537783991
563	0.7537069501
564	0.7536164544
565	0.7535374217
566	0.7534681272
567	0.7533863136
568	0.7533080863
569	0.753231061
570	0.7531709011
571	0.7530832803
572	0.7530138058
573	0.7529182462
574	0.7528573349
575	0.7527843109
576	0.7526945001
577	0.752614194
578	0.752552739
579	0.7524759478
580	0.7523923303
581	0.7523203343
582	0.7522610709
583	0.7521755599
584	0.7521053783
585	0.752020092
586	0.7519214276
587	0.7518439485
588	0.7517661843
589	0.7516912182
590	0.7516140965
591	0.7515494065
592	0.7514768792
593	0.7513968936
594	0.7513119428
595	0.7512318703
596	0.7511648246
597	0.751082136
598	0.7510000624
599	0.7509120496
600	0.7508213905
601	0.7507548632
602	0.7506590854
603	0.750599101
604	0.7505224916
605	0.750446152
606	0.7503771968
607	0.7503150727
608	0.7502419401
609	0.7501926142
610	0.7501083602
611	0.7500468388
612	0.7499651381
613	0.749887943
614	0.7498319951
615	0.749761212
616	0.7496878517
617	0.7496216754
618	0.7495524012
619	0.749478812
620	0.749377867
621	0.7493018973
622	0.7492366602
623	0.749150074
624	0.7490665719
625	0.7489960294
626	0.7489197776
627	0.7488448743
628	0.7487484349
629	0.7486780015
630	0.7486078399
631	0.7485297047
632	0.7484625909
633	0.7484146787
634	0.748347833
635	0.7482661208
636	0.7481929968
637	0.748129647
638	0.7480585288
639	0.7479789784
640	0.7479066968
641	0.7478360449
642	0.7477563315
643	0.7476710019
644	0.7475814476
645	0.7475187428
646	0.7474439082
647	0.7473787179
648	0.7473086084
649	0.747239991
650	0.747158541
651	0.7471022841
652	0.7470237125
653	0.7469426922
654	0.7468672071
655	0.7467819503
656	0.7467135286
657	0.7466436706
658	0.7465863633
659	0.7465267842
660	0.74645963
661	0.7463903762
662	0.7463168242
663	0.7462444863
664	0.7461727696
665	0.7461110284
666	0.7460329807
667	0.7459819801
668	0.7459321978
669	0.7458703669
670	0.7458123018
671	0.7457590862
672	0.7457066699
673	0.7456210359
674	0.7455648725
675	0.7454978063
676	0.7454191355
677	0.745346361
678	0.7452924482
679	0.7452272794
680	0.7451589596
681	0.7450617983
682	0.7449890589
683	0.7449282334
684	0.7448322308
685	0.7447471956
686	0.7446693897
687	0.7446069993
688	0.7445457927
689	0.74447811
690	0.7444095815
691	0.7443308306
692	0.7442800982
693	0.7442120763
694	0.7441346344
695	0.7440891034
696	0.7440242142
697	0.7439471027
698	0.7438676027
699	0.7438044098
700	0.743752416
701	0.7436853263
702	0.743620542
703	0.743563492
704	0.7434951594
705	0.7434278364
706	0.7433597365
707	0.7432979018
708	0.7432353612
709	0.7431634242
710	0.7430954753
711	0.7430210013
712	0.7429492188
713	0.7428830031
714	0.7428106463
715	0.7427481347
716	0.7426855127
717	0.7426066492
718	0.7425249014
719	0.7424713098
720	0.7424149783
721	0.7423454876
722	0.7422832877
723	0.7422124864
724	0.7421453628
