iter	Passed	Remaining
0	16	32427
1	31	31683
2	47	31631
3	63	31514
4	78	31430
5	94	31474
6	110	31384
7	124	31090
8	141	31231
9	159	31755
10	175	31690
11	191	31797
12	208	31831
13	223	31641
14	240	31818
15	254	31590
16	271	31713
17	287	31601
18	301	31431
19	317	31472
20	335	31601
21	349	31396
22	367	31606
23	382	31500
24	396	31310
25	410	31162
26	426	31152
27	443	31203
28	458	31160
29	476	31322
30	491	31232
31	505	31113
32	519	30958
33	535	30987
34	552	31000
35	568	30991
36	585	31072
37	600	30994
38	613	30864
39	631	30919
40	646	30897
41	664	30964
42	681	31014
43	696	30954
44	711	30894
45	727	30890
46	746	31000
47	760	30925
48	774	30843
49	789	30791
50	804	30729
51	819	30686
52	835	30693
53	852	30732
54	867	30669
55	881	30617
56	895	30542
57	909	30468
58	925	30452
59	943	30513
60	958	30462
61	975	30495
62	992	30530
63	1007	30485
64	1024	30485
65	1042	30539
66	1057	30505
67	1072	30468
68	1086	30402
69	1100	30335
70	1115	30295
71	1129	30240
72	1146	30261
73	1163	30292
74	1179	30279
75	1197	30304
76	1212	30279
77	1230	30317
78	1245	30280
79	1259	30229
80	1273	30177
81	1287	30119
82	1302	30077
83	1319	30091
84	1337	30143
85	1352	30101
86	1367	30071
87	1385	30098
88	1400	30066
89	1413	30001
90	1427	29944
91	1441	29902
92	1456	29859
93	1474	29896
94	1490	29881
95	1505	29850
96	1521	29840
97	1537	29841
98	1552	29804
99	1566	29768
100	1584	29799
101	1599	29759
102	1613	29709
103	1630	29716
104	1647	29731
105	1662	29696
106	1680	29726
107	1694	29684
108	1707	29617
109	1723	29613
110	1740	29627
111	1752	29543
112	1769	29550
113	1785	29543
114	1799	29495
115	1814	29470
116	1829	29444
117	1847	29465
118	1860	29411
119	1877	29420
120	1893	29397
121	1906	29342
122	1919	29297
123	1937	29308
124	1951	29272
125	1965	29238
126	1982	29243
127	1998	29232
128	2012	29185
129	2026	29152
130	2044	29163
131	2058	29126
132	2072	29098
133	2089	29095
134	2106	29104
135	2121	29071
136	2139	29097
137	2154	29066
138	2171	29068
139	2186	29046
140	2202	29034
141	2218	29034
142	2233	29009
143	2250	29010
144	2264	28975
145	2279	28945
146	2291	28889
147	2305	28853
148	2322	28846
149	2340	28867
150	2354	28831
151	2371	28829
152	2387	28821
153	2399	28757
154	2412	28713
155	2426	28680
156	2445	28711
157	2461	28697
158	2477	28686
159	2492	28664
